season,team,g,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_ft,opp_fta,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
1987,"New York Knicks",82,3500,7142,94,358,1928,2534,1331,2448,3779,2152,761,400,1417,1950,9022
1987,"Dallas Mavericks",82,3586,7503,128,434,1750,2293,1254,2386,3640,2304,571,421,1332,2136,9050
1987,"Seattle SuperSonics",82,3514,7329,93,324,2166,2819,1236,2278,3514,2023,731,409,1342,2027,9287
1987,"San Antonio Spurs",82,3704,7310,106,379,1786,2364,1100,2461,3561,2375,699,463,1417,1844,9300
1987,"New Jersey Nets",82,3418,7125,118,366,2353,3018,1129,2352,3481,1958,814,566,1357,2126,9307
1987,"Phoenix Suns",82,3623,7336,123,395,1942,2570,1235,2355,3590,2246,799,435,1428,2034,9311
1987,"Sacramento Kings",82,3656,7469,125,395,1922,2500,1160,2355,3515,2154,707,487,1210,2068,9359
1987,"Golden State Warriors",82,3615,7339,155,460,1995,2665,1249,2481,3730,2174,688,450,1411,2052,9380
1987,"Portland Trail Blazers",82,3649,7523,116,421,1996,2589,1208,2279,3487,2189,735,473,1504,2228,9410
1987,"Los Angeles Clippers",82,3759,7254,110,320,1875,2515,1187,2643,3830,2416,806,534,1533,2021,9503
1987,"Denver Nuggets",82,3636,7343,113,361,2255,2901,1166,2720,3886,2189,558,452,1564,2145,9640
1988,"Chicago Bulls",82,3276,6967,108,368,1670,2205,1023,2268,3291,2079,597,415,1244,1880,8330
1988,"Cleveland Cavaliers",82,3383,7101,127,400,1611,2044,1159,2255,3414,1989,692,449,1439,2021,8504
1988,"Detroit Pistons",82,3334,7134,114,394,1751,2298,1144,2276,3420,1964,649,406,1328,2164,8533
1988,"Atlanta Hawks",82,3243,6885,136,406,1927,2480,1156,2353,3509,1976,640,353,1322,2008,8549
1988,"Utah Jazz",82,3273,7283,146,464,1905,2475,1277,2444,3721,1991,771,472,1467,2013,8597
